"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","__SMA #1","__SMA #2","__SMA #3","__Stop Loss %","__OverBought","__OverSold","__Volume MA","__Num dev","__Source","comment"
75436.65,251.46,75436.65,251.46,0,0,127456.05,424.85,127456.05,424.85,0,0,52019.4,173.4,52019.4,173.4,0,0,75691.85,71.62,11901.5,21.9,500416.5,1668.06,0.077,0.191,2.45,2.45,"N/A",33,33,0,0,0,0,0,0,97,97,0,0,0,0,51,51,0,33,33,0,52.58,52.58,"N/A",777.7,2.58,777.7,2.58,"N/A",2499.14,8.3,2499.14,8.3,"N/A",1576.35,5.25,1576.35,5.25,"N/A",1.585,1.585,"N/A",21608.95,72.33,21608.95,72.33,"N/A",4108.05,12.95,4108.05,12.95,"N/A",27,27,0,39,39,0,17,17,0,0,0,0,34,74,340,0.09,35,50,7,1,"close","All parameters are changed randomly"
111935.35,373.12,111935.35,373.12,0,0,162465.55,541.55,162465.55,541.55,0,0,50530.2,168.43,50530.2,168.43,0,0,128384.95,85.83,10590.1,34.3,482976.15,1609.92,0.077,0.3,3.215,3.215,"N/A",35,35,0,5223.2,3.68,0,0,0,45,45,0,1,1,0,17,17,0,28,28,0,37.78,37.78,"N/A",2487.45,8.38,2487.45,8.38,"N/A",9556.8,32.04,9556.8,32.04,"N/A",1804.65,5.98,1804.65,5.98,"N/A",5.296,5.296,"N/A",32980.2,107.19,32980.2,107.19,"N/A",7255.3,24.24,7255.3,24.24,"N/A",98,98,0,183,183,0,47,47,0,0,0,0,46,82,280,0.05,101,20,8,2.5,"close","All parameters are changed randomly"
142943.8,476.48,142943.8,476.48,0,0,190079.15,633.6,190079.15,633.6,0,0,47135.35,157.12,47135.35,157.12,0,0,146580.65,83.78,10909.15,25.7,465154.2,1550.51,0.094,0.394,4.033,4.033,"N/A",35,35,0,-434.5,-0.25,0,0,0,59,59,0,1,1,0,21,21,0,38,38,0,35.59,35.59,"N/A",2422.78,8.12,2422.78,8.12,"N/A",9051.39,30.22,9051.39,30.22,"N/A",1240.4,4.1,1240.4,4.1,"N/A",7.297,7.297,"N/A",33207.9,108.74,33207.9,108.74,"N/A",5685.4,18.88,5685.4,18.88,"N/A",84,84,0,155,155,0,45,45,0,0,0,0,30,82,220,0.03,101,55,4,2.6,"close","All parameters are changed randomly"
150139.8,500.47,150139.8,500.47,0,0,202476.7,674.92,202476.7,674.92,0,0,52336.9,174.46,52336.9,174.46,0,0,162147.25,86.29,18249.2,40.83,483576.45,1611.92,0.07,0.469,3.869,3.869,"N/A",35,35,0,3863.2,2.14,0,0,0,34,34,0,1,1,0,12,12,0,22,22,0,35.29,35.29,"N/A",4415.88,14.95,4415.88,14.95,"N/A",16873.06,56.83,16873.06,56.83,"N/A",2378.95,7.9,2378.95,7.9,"N/A",7.093,7.093,"N/A",81493.5,286.66,81493.5,286.66,"N/A",6841.9,22.32,6841.9,22.32,"N/A",140,140,0,281,281,0,64,64,0,0,0,0,50,74,100,0.08,46,25,4,3,"close","All parameters are changed randomly"
114278.8,380.93,114278.8,380.93,0,0,153927.2,513.09,153927.2,513.09,0,0,39648.4,132.16,39648.4,132.16,0,0,132601.15,87.86,16849.45,48.13,447576.3,1491.92,0.056,0.489,3.882,3.882,"N/A",35,35,0,0,0,0,0,0,47,47,0,0,0,0,11,11,0,36,36,0,23.4,23.4,"N/A",2431.46,8.09,2431.46,8.09,"N/A",13993.38,46.31,13993.38,46.31,"N/A",1101.34,3.6,1101.34,3.6,"N/A",12.706,12.706,"N/A",56033,188.21,56033,188.21,"N/A",5393.15,18.22,5393.15,18.22,"N/A",117,117,0,308,308,0,59,59,0,0,0,0,10,50,310,0.02,35,30,16,4,"close","All parameters are changed randomly"
137809.45,459.36,137809.45,459.36,0,0,198562.3,661.87,198562.3,661.87,0,0,60752.85,202.51,60752.85,202.51,0,0,148031.3,85.61,15256,23.4,447585.75,1491.95,0.085,0.516,3.268,3.268,"N/A",35,35,0,938.7,0.56,0,0,0,63,63,0,1,1,0,17,17,0,46,46,0,26.98,26.98,"N/A",2187.45,7.33,2187.45,7.33,"N/A",11680.14,38.86,11680.14,38.86,"N/A",1320.71,4.33,1320.71,4.33,"N/A",8.844,8.844,"N/A",54325.2,177.45,54325.2,177.45,"N/A",6140.7,20.01,6140.7,20.01,"N/A",85,85,0,198,198,0,43,43,0,0,0,0,10,98,130,0.03,90,45,8,2.7,"close","All parameters are changed randomly"
62669.05,208.9,62669.05,208.9,0,0,131709.25,439.03,131709.25,439.03,0,0,69040.2,230.13,69040.2,230.13,0,0,74094,74.86,13770.85,32.11,465871,1552.9,0.06,0.135,1.908,1.908,"N/A",36,36,0,0,0,0,0,0,75,75,0,0,0,0,34,34,0,35,35,0,45.33,45.33,"N/A",835.59,2.77,835.59,2.77,"N/A",3873.8,12.86,3873.8,12.86,"N/A",1972.58,6.56,1972.58,6.56,"N/A",1.964,1.964,"N/A",24267.65,78.87,24267.65,78.87,"N/A",6363.6,21.4,6363.6,21.4,"N/A",37,37,0,56,56,0,24,24,0,0,0,0,46,50,280,0.07,101,15,16,1.6,"close","All parameters are changed randomly"
111916.45,373.05,111916.45,373.05,0,0,130879.5,436.27,130879.5,436.27,0,0,18963.05,63.21,18963.05,63.21,0,0,160309.3,85.94,7015.8,20.16,500371.5,1667.91,0.065,0.918,6.902,6.902,"N/A",35,35,0,39768.6,28.02,0,0,0,20,20,0,1,1,0,6,6,0,14,14,0,30,30,"N/A",5595.82,18.32,5595.82,18.32,"N/A",21813.25,71.41,21813.25,71.41,"N/A",1354.5,4.43,1354.5,4.43,"N/A",16.104,16.104,"N/A",87285,283.94,87285,283.94,"N/A",3003.6,9.49,3003.6,9.49,"N/A",245,245,0,500,500,0,136,136,0,0,0,0,34,98,370,0.03,123,55,16,3.6,"close","All parameters are changed randomly"
105955.5,353.18,105955.5,353.18,0,0,163052.65,543.51,163052.65,543.51,0,0,57097.15,190.32,57097.15,190.32,0,0,108033.9,79.09,13334.65,24.06,500371.5,1667.91,0.076,0.335,2.856,2.856,"N/A",36,36,0,23.1,0.02,0,0,0,81,81,0,1,1,0,38,38,0,39,39,0,46.91,46.91,"N/A",1308.09,4.45,1308.09,4.45,"N/A",4290.86,14.56,4290.86,14.56,"N/A",1464.03,4.94,1464.03,4.94,"N/A",2.931,2.931,"N/A",42510,157.25,42510,157.25,"N/A",4212.8,14.48,4212.8,14.48,"N/A",46,46,0,66,66,0,31,31,0,0,0,0,18,74,340,0.06,35,35,8,1.7,"close","All parameters are changed randomly"
125526.15,418.42,125526.15,418.42,0,0,182123.65,607.08,182123.65,607.08,0,0,56597.5,188.66,56597.5,188.66,0,0,133264.55,82.47,18128.8,26.09,500391,1667.97,0.086,0.297,3.218,3.218,"N/A",36,36,0,3642.3,2.34,0,0,0,52,52,0,1,1,0,23,23,0,29,29,0,44.23,44.23,"N/A",2413.96,8,2413.96,8,"N/A",7918.42,26.52,7918.42,26.52,"N/A",1951.64,6.68,1951.64,6.68,"N/A",4.057,4.057,"N/A",37214.1,121.85,37214.1,121.85,"N/A",6024.8,24.85,6024.8,24.85,"N/A",80,80,0,140,140,0,33,33,0,0,0,0,42,74,370,0.05,35,15,6,2.2,"close","All parameters are changed randomly"
